FECHA,BRILLO SOLAR,DIR. VIENTO,EVA. PICHE,EVA. TANQUE,HUMEDAD REL,LLUVIA,NUBOSIDAD,PRESION ATM.,RADIACION,TMAX,TMED,TMIN,TSUELO,VEL. VIENTO
2023-02-01,-99.9,0,-99.9,-99.9,50,0,2,742.3,-99.9,34.8,27.8,21.2,-99.9,3.7
2023-02-02,-99.9,270,-99.9,-99.9,58,0,1,742.1,-99.9,34.8,27.7,20.8,-99.9,7.4
2023-02-03,-99.9,0,-99.9,-99.9,67,24.6,2,743.0,-99.9,33.8,26.3,21.4,-99.9,0
2023-02-04,-99.9,270,-99.9,-99.9,65,0,2,742.8,-99.9,33.2,26.7,20.2,-99.9,9.9
2023-02-05,-99.9,270,-99.9,-99.9,63,0,3,743.0,-99.9,33,27.3,21.4,-99.9,11.1
2023-02-06,-99.9,225,-99.9,-99.9,60,0,2,741.5,-99.9,34,27.3,19.6,-99.9,4
2023-02-07,-99.9,225,-99.9,-99.9,46,0,1,741.3,-99.9,36,28.3,19.8,-99.9,4.7
2023-02-08,-99.9,225,-99.9,-99.9,54,0,3,741.2,-99.9,35,27.8,20.4,-99.9,6
2023-02-09,-99.9,225,-99.9,-99.9,56,0,2,741.1,-99.9,34.2,28,21,-99.9,4.7
2023-02-10,-99.9,225,-99.9,-99.9,58,0,3,741.0,-99.9,35,28.1,21,-99.9,5.3
2023-02-11,-99.9,225,-99.9,-99.9,63,0,2,740.8,-99.9,34.2,27.7,21,-99.9,4.7
2023-02-12,-99.9,225,-99.9,-99.9,61,0,2,740.4,-99.9,35,27.6,20.2,-99.9,4
2023-02-13,-99.9,270,-99.9,-99.9,58,0,2,740.9,-99.9,35,27.7,20.6,-99.9,7.4
2023-02-14,-99.9,9,-99.9,-99.9,57,0,6,741.3,-99.9,35,27.1,20,-99.9,13.6
2023-02-15,-99.9,270,-99.9,-99.9,59,0,4,741.5,-99.9,35.6,27.8,20.6,-99.9,14.8
2023-02-16,-99.9,315,-99.9,-99.9,62,0,5,741.2,-99.9,33.2,27.3,21.8,-99.9,4.9
2023-02-17,-99.9,9,-99.9,-99.9,51,0,4,741.0,-99.9,35.8,28.9,21.8,-99.9,8.6
2023-02-18,-99.9,270,-99.9,-99.9,58,0,0,741.1,-99.9,35.2,28.4,20.8,-99.9,8.6
2023-02-19,-99.9,270,-99.9,-99.9,61,0,1,742.0,-99.9,34.4,27.7,20,-99.9,12.3
2023-02-20,-99.9,270,-99.9,-99.9,49,0,2,741.8,-99.9,37,28.1,20,-99.9,4
2023-02-21,-99.9,225,-99.9,-99.9,47,0,4,741.6,-99.9,36.6,28.7,21,-99.9,4.7
2023-02-22,-99.9,270,-99.9,-99.9,57,0,6,742.7,-99.9,35,28.3,22.8,-99.9,4.7
2023-02-23,-99.9,225,-99.9,-99.9,58,0,6,743.5,-99.9,34,28.2,22.8,-99.9,4.7
2023-02-24,-99.9,225,-99.9,-99.9,55,0,2,743.3,-99.9,35.2,27.9,21,-99.9,5.3
2023-02-25,-99.9,225,-99.9,-99.9,57,0,2,742.9,-99.9,35.6,27.7,20.8,-99.9,4
2023-02-26,-99.9,270,-99.9,-99.9,58,0,4,742.0,-99.9,34,27.9,21,-99.9,4
2023-02-27,-99.9,225,-99.9,-99.9,58,0,2,741.6,-99.9,34.8,27.9,21.4,-99.9,9.9
2023-02-28,-99.9,0,-99.9,-99.9,61,0,3,741.6,-99.9,35.4,28.3,22,-99.9,4.9
2023-03-01,-99.9,315,-99.9,-99.9,63,0,2,741.4,-99.9,34.8,28.3,21.8,-99.9,8.6
2023-03-02,-99.9,270,-99.9,-99.9,61,0,3,740.0,-99.9,34.8,28.5,23.4,-99.9,8.6
2023-03-03,-99.9,270,-99.9,-99.9,55,0,2,739,-99.9,34.6,27.7,20,-99.9,7.4
2023-03-04,-99.9,0,-99.9,-99.9,54,0,2,740.1,-99.9,36.4,28.6,22,-99.9,3.7
2023-03-05,,,,,,,,,,,,23,,
